차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
1991 엑셀 해치백,1.5 가솔린,442~598만원,1.5SOHC,정보없음,"1,500cc",가솔린,"자동13.8km/ℓ(2등급)별표*
수동15.8km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4~5단,수동4~5단",1.5SOHC,"1,500cc",가솔린,85~95hp,12.0~13.6kg.m,180km/h,정보없음,정보없음,"자동13.8km/ℓ(2등급)별표*
수동15.8km/ℓ(1등급)별표*
",정보없음,"3,985mm","1,595mm","1,380mm","2,380mm","1,375mm","1,340mm",정보없음,5인승,정보없음,정보없음,전륜구동,"자동4~5단,수동4~5단",정보없음,정보없음,정보없음,정보없음,정보없음,,
1991 엑셀 해치백,1.5 LPG,470~539만원,1.5LPG,정보없음,"1,500cc",LPG,"자동14.3km/ℓ(2등급)별표*
수동18.8km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동4단",1.5LPG,"1,500cc",LPG,85hp,12.0kg.m,170~180km/h,정보없음,정보없음,"자동14.3km/ℓ(2등급)별표*
수동18.8km/ℓ(1등급)별표*
",정보없음,"3,985mm","1,595mm","1,380mm","2,380mm","1,375mm","1,340mm",정보없음,5인승,정보없음,정보없음,전륜구동,"자동4단,수동4단",정보없음,정보없음,정보없음,정보없음,정보없음,,
1992 그랜저,2.4 가솔린,"2,220만원",I4,자연흡기,"2,351cc",가솔린,"자동9.0km/ℓ별표*
",5인승,전륜구동,자동4단,I4,"2,351cc",가솔린,123hp,18.5kg.m,정보없음,정보없음,정보없음,"자동9.0km/ℓ별표*
",정보없음,"4,980mm","1,810mm","1,435mm","2,745mm","1,540mm","1,550mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1992 그랜저,2.0 가솔린,"1,890만원",I4,자연흡기,"1,997cc",가솔린,"자동9.5km/ℓ별표*
수동10.7km/ℓ별표*
",5인승,전륜구동,"자동4단,수동5단",I4,"1,997cc",가솔린,137hp,17.7kg.m,정보없음,정보없음,정보없음,"자동9.5km/ℓ별표*
수동10.7km/ℓ별표*
",정보없음,"4,980mm","1,810mm","1,435mm","2,745mm","1,540mm","1,550mm",정보없음,5인승,정보없음,정보없음,전륜구동,"자동4단,수동5단",정보없음,정보없음,정보없음,정보없음,정보없음,,
1992 그랜저,3.5 가솔린,"4,150만원",V6,자연흡기,"3,496cc",가솔린,"자동8.0km/ℓ별표*
",5인승,전륜구동,자동4단,V6,"3,496cc",가솔린,225hp,31.8kg.m,정보없음,정보없음,정보없음,"자동8.0km/ℓ별표*
",정보없음,"4,980mm","1,810mm","1,440mm","2,745mm","1,540mm","1,550mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1992 그랜저,3.0 가솔린,"3,190만원",V6,자연흡기,"2,972cc",가솔린,"자동8.3km/ℓ별표*
",5인승,전륜구동,자동4단,V6,"2,972cc",가솔린,205hp,27.1kg.m,정보없음,정보없음,정보없음,"자동8.3km/ℓ별표*
",정보없음,"4,980mm","1,810mm","1,440mm","2,745mm","1,540mm","1,550mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1992 그랜저,2.5 가솔린,가격정보없음,V6,자연흡기,"2,497cc",가솔린,"자동8.8km/ℓ별표*
",5인승,전륜구동,자동4단,V6,"2,497cc",가솔린,173hp,22.4kg.m,정보없음,정보없음,정보없음,"자동8.8km/ℓ별표*
",정보없음,"4,980mm","1,810mm","1,440mm","2,745mm","1,540mm","1,550mm",정보없음,5인승,정보없음,정보없음,전륜구동,자동4단,정보없음,정보없음,정보없음,정보없음,정보없음,,
1993 그레이스,2.4,790만원,직렬4기통,정보없음,"2,476cc",디젤,정보없음,12인승,후륜구동,수동5단,직렬4기통,"2,476cc",디젤,73hp,14.9kg.m,135km/h,정보없음,정보없음,정보없음,정보없음,"4,740mm","1,690mm","1,955mm","2,440mm","1,445mm","1,380mm","2,215kg",12인승,195mm/75/14inch,195mm/75/14inch,후륜구동,수동5단,위시본,스트럿,디스크,드럼,정보없음,,
1993 쏘나타,2.0 가솔린,"1,160~1,585만원","2.0DOHC,2.0SOHC",정보없음,"1,997cc",가솔린,"자동10.9km/ℓ(3등급)별표*
수동12.0km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단","2.0DOHC,2.0SOHC","1,997cc",가솔린,135~146hp,18.1~19.2kg.m,195km/h,정보없음,정보없음,"자동10.9km/ℓ(3등급)별표*
수동12.0km/ℓ(3등급)별표*
",정보없음,"4,700mm","1,770mm","1,405mm","2,700mm","1,515mm","1,505mm","1,260~1,280kg",5인승,195~205mm/60~70/14~15inch,195~205mm/60~70/14~15inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
1993 쏘나타,1.8 가솔린,"1,065~1,170만원",수냉4기통,정보없음,"1,836cc",가솔린,"자동11.5km/ℓ(3등급)별표*
수동12.8km/ℓ(2등급)별표*
",5인승,전륜구동,"자동4단,수동5단",수냉4기통,"1,836cc",가솔린,110hp,16.5~17.5kg.m,정보없음,정보없음,정보없음,"자동11.5km/ℓ(3등급)별표*
수동12.8km/ℓ(2등급)별표*
",정보없음,"4,700mm","1,770mm","1,405mm","2,700mm","1,515mm","1,505mm","1,290kg",5인승,195mm/70/14inch,195mm/70/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
