차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
2001 갤로퍼,6인승 롱바디 인...,"1,823~2,056만원","D4BA,D4BH",정보없음,"2,476cc",디젤,"자동9.5~9.7km/ℓ(4등급)별표*
수동8.7~10.5km/ℓ(4등급)별표*
",5~6인승,파트타임4륜구동,"자동4단,수동5단","D4BA,D4BH","2,476cc",디젤,81~100hp,21.0~25.0kg.m,136~146km/h,정보없음,정보없음,"자동9.5~9.7km/ℓ(4등급)별표*
수동8.7~10.5km/ℓ(4등급)별표*
",정보없음,"4,675mm","1,770mm","1,970mm","2,695mm","1,435mm","1,450mm","1,870kg",5~6인승,215~235mm/75/15inch,215~235mm/75/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2001 다이너스티,2.5 가솔린,"2,694~2,910만원",DOHC,정보없음,"2,497cc",가솔린,"자동8.8km/ℓ(4등급)별표*
",5인승,전륜구동,자동4단,DOHC,"2,497cc",가솔린,167hp,21.4kg.m,195km/h,정보없음,정보없음,"자동8.8km/ℓ(4등급)별표*
",정보없음,"4,980mm","1,810mm","1,445mm","2,745mm","1,545mm","1,550mm","1,710kg",5인승,205mm/65/15inch,205mm/65/15inch,전륜구동,자동4단,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,유압식,,
2001 다이너스티,3.0 LPG,"3,020~3,404만원",L6AT,정보없음,"2,972cc",가솔린,"자동8.3km/ℓ(5등급)별표*
",5인승,전륜구동,자동4단,L6AT,"2,972cc",가솔린,135hp,24.0kg.m,189km/h,정보없음,정보없음,"자동8.3km/ℓ(5등급)별표*
",정보없음,"4,980mm","1,810mm","1,445mm","2,745mm","1,545mm","1,550mm","1,710kg",5인승,215mm/65/15inch,215mm/65/15inch,전륜구동,자동4단,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,정보없음,,
2001 다이너스티,3.0 가솔린,"3,294~3,435만원",DOHC,정보없음,"2,972cc",가솔린,"자동8.3km/ℓ(5등급)별표*
",5인승,전륜구동,자동4단,DOHC,"2,972cc",가솔린,194hp,25.8kg.m,189km/h,정보없음,정보없음,"자동8.3km/ℓ(5등급)별표*
",정보없음,"4,980mm","1,810mm","1,445mm","2,745mm","1,545mm","1,550mm","1,710kg",5인승,215mm/65/15inch,215mm/65/15inch,전륜구동,자동4단,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,유압식,,
2001 다이너스티,3.5 가솔린,"3,678만원",V형6기통DOHC,정보없음,"3,496cc",가솔린,"자동8.3km/ℓ(5등급)별표*
",5인승,전륜구동,자동4단,V형6기통DOHC,"3,496cc",가솔린,225hp,31.8kg.m,210km/h,정보없음,정보없음,"자동8.3km/ℓ(5등급)별표*
",정보없음,"4,980mm","1,810mm","1,445mm","2,745mm","1,540mm","1,550mm","1,760kg",5인승,205mm/65/15inch,205mm/65/15inch,전륜구동,자동4단,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,정보없음,,
2001 베르나,1.5 SD 가솔린,"742~1,013만원",DOHC,정보없음,"1,495cc",가솔린,"자동13.9km/ℓ(2등급)별표*
수동15.9km/ℓ(1등급)별표*
",5인승,전륜구동,"자동,수동",DOHC,"1,495cc",가솔린,102hp,13.6kg.m,174~179km/h,정보없음,정보없음,"자동13.9km/ℓ(2등급)별표*
수동15.9km/ℓ(1등급)별표*
",정보없음,"4,235mm","1,670mm","1,395mm","2,440mm","1,435mm","1,425mm","1,000~1,025kg",5인승,185mm/60/14inch,185mm/60/14inch,전륜구동,"자동,수동",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2001 베르나,1.5 LE 가솔린,"717~1,032만원",린번,정보없음,"1,495cc",가솔린,"자동14.8km/ℓ(2등급)별표*
수동18.0km/ℓ(1등급)별표*
",5인승,전륜구동,"자동,수동",린번,"1,495cc",가솔린,95hp,13.6kg.m,170~172km/h,정보없음,정보없음,"자동14.8km/ℓ(2등급)별표*
수동18.0km/ℓ(1등급)별표*
",정보없음,"4,235mm","1,670mm","1,395mm","2,440mm","1,435mm","1,425mm","1,000~1,030kg",5인승,175mm/70/13inch,175mm/70/13inch,전륜구동,"자동,수동",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2001 베르나,1.5 SV 가솔린,"698~1,010만원",SOHC,정보없음,"1,495cc",가솔린,"자동14.3km/ℓ(2등급)별표*
수동16.6km/ℓ(1등급)별표*
",5인승,전륜구동,"자동,수동",SOHC,"1,495cc",가솔린,91~96hp,13.2~13.8kg.m,169~173km/h,정보없음,정보없음,"자동14.3km/ℓ(2등급)별표*
수동16.6km/ℓ(1등급)별표*
",정보없음,"4,235mm","1,670mm","1,395mm","2,440mm","1,435mm","1,425mm","990~1,015kg",5인승,185mm/60/14inch,185mm/60/14inch,전륜구동,"자동,수동",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2001 베르나,1.3 SL 가솔린,625~899만원,SOHC,정보없음,"1,341cc",가솔린,"자동15.3km/ℓ(1등급)별표*
수동17.5km/ℓ(1등급)별표*
",5인승,전륜구동,"자동,수동",SOHC,"1,341cc",가솔린,85hp,12.0kg.m,163~169km/h,정보없음,정보없음,"자동15.3km/ℓ(1등급)별표*
수동17.5km/ℓ(1등급)별표*
",정보없음,"4,235mm","1,670mm","1,395mm","2,440mm","1,435mm","1,425mm",965~990kg,5인승,155~175mm/70~80/13inch,155~175mm/70~80/13inch,전륜구동,"자동,수동",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2001 쏘나타,2.5 V6,"2,310~2,589만원",V형6기통DOHC,정보없음,"2,493cc",가솔린,"자동8.5km/ℓ(4등급)별표*
",5인승,전륜구동,자동,V형6기통DOHC,"2,493cc",가솔린,170hp,23.0kg.m,정보없음,정보없음,정보없음,"자동8.5km/ℓ(4등급)별표*
",정보없음,"4,745mm","1,820mm","1,420mm","2,700mm","1,540mm","1,530mm","1,487kg",5인승,205mm/60/16inch,205mm/60/16inch,전륜구동,자동,더블위시본,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
2001 쏘나타,1.8 가솔린,"1,369~1,474만원",I4DOHC,정보없음,"1,795cc",가솔린,"자동10.0km/ℓ(4등급)별표*
",5인승,전륜구동,자동,I4DOHC,"1,795cc",가솔린,131hp,16.7kg.m,정보없음,정보없음,정보없음,"자동10.0km/ℓ(4등급)별표*
",정보없음,"4,745mm","1,820mm","1,420mm","2,700mm","1,540mm","1,530mm","1,445kg",5인승,205mm/65/15inch,205mm/65/15inch,전륜구동,자동,더블위시본,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
2001 쏘나타,2.0 가솔린,"1,252~2,326만원",I4DOHC,정보없음,"1,795~1,997cc",가솔린,"자동9.4~11.1km/ℓ(3등급~4등급)별표*
수동11.1~11.8km/ℓ(3등급)별표*
CVT10.1km/ℓ(4등급)별표*
",5인승,전륜구동,"자동,수동,자동(CVT)",I4DOHC,"1,795~1,997cc",가솔린,131~137hp,16.7~18.4kg.m,정보없음,정보없음,정보없음,"자동9.4~11.1km/ℓ(3등급~4등급)별표*
수동11.1~11.8km/ℓ(3등급)별표*
CVT10.1km/ℓ(4등급)별표*
",정보없음,"4,745mm","1,820mm","1,420mm","2,700mm","1,540mm","1,530mm","1,427~1,470kg",5인승,205mm/60~65/15~16inch,205mm/60~65/15~16inch,전륜구동,"자동,수동,자동(CVT)",더블위시본,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
2001 아토스,0.8 가솔린,525~837만원,직렬4기통SOHC,정보없음,798cc,가솔린,"자동17.8~20.8km/ℓ(1등급)별표*
수동21.5km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단",직렬4기통SOHC,798cc,가솔린,55~70hp,7.4~10.5kg.m,149km/h,정보없음,정보없음,"자동17.8~20.8km/ℓ(1등급)별표*
수동21.5km/ℓ(1등급)별표*
",정보없음,"3,495mm","1,495mm","1,615mm","2,380mm","1,315mm","1,300mm",845~885kg,5인승,155~175mm/60~70/13inch,155~175mm/60~70/13inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,토션빔액슬,디스크,드럼,랙앤피니언,,
2001 테라칸,EX290 2WD,"2,033~2,210만원",CRDi,정보없음,"2,902cc",디젤,"자동10.7km/ℓ(3등급)별표*
수동12.2km/ℓ(3등급)별표*
",7인승,후륜구동,"자동4단,수동5단",CRDi,"2,902cc",디젤,145hp,34.0kg.m,166~169km/h,정보없음,정보없음,"자동10.7km/ℓ(3등급)별표*
수동12.2km/ℓ(3등급)별표*
",정보없음,"4,710mm","1,860mm","1,795mm","2,750mm","1,530mm","1,530mm","2,005~2,010kg",7인승,255mm/65/16inch,255mm/65/16inch,후륜구동,"자동4단,수동5단",더블위시본,5링크코일스프링,디스크,디스크,랙앤피니언,,
2001 테라칸,JX250 4WD,"2,595만원",인터쿨러터보,정보없음,"2,476cc",디젤,"자동9.2km/ℓ(4등급)별표*
",7인승,파트타임4륜구동,자동4단,인터쿨러터보,"2,476cc",디젤,103hp,24.0kg.m,142km/h,정보없음,정보없음,"자동9.2km/ℓ(4등급)별표*
",정보없음,"4,710mm","1,860mm","1,795mm","2,750mm","1,530mm","1,530mm","1,975kg",7인승,255mm/70/15inch,255mm/70/15inch,파트타임4륜구동,자동4단,더블위시본,5링크코일스프링,디스크,디스크,랙앤피니언,,
2001 티뷰론 터뷸런스,2.0 TYPE,"1,324~1,649만원","β-2.0DOHC,직렬4기통DOHC",정보없음,"1,975cc",가솔린,"자동11.6km/ℓ(3등급)별표*
수동13.3km/ℓ(2등급)별표*
",4~5인승,전륜구동,"자동4단,수동4~5단","β-2.0DOHC,직렬4기통DOHC","1,975cc",가솔린,149~153hp,19.5kg.m,220~225km/h,8.6~10.7초,정보없음,"자동11.6km/ℓ(3등급)별표*
수동13.3km/ℓ(2등급)별표*
",정보없음,"4,345mm","1,790mm","1,315mm","2,475mm","1,465mm","1,450mm","1,200~1,225kg",4~5인승,205mm/50/15inch,205mm/50/15inch,전륜구동,"자동4단,수동4~5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,디스크,랙앤피니언,,
2001 티뷰론 터뷸런스,2.0 DOHC,"1,181만원",14-DOHC,정보없음,"1,975cc",가솔린,"수동12.0km/ℓ(3등급)별표*
",5인승,전륜구동,수동5단,14-DOHC,"1,975cc",가솔린,153hp,19.5kg.m,220km/h,정보없음,정보없음,"수동12.0km/ℓ(3등급)별표*
",정보없음,"4,345mm","1,790mm","1,315mm","2,475mm","1,465mm","1,450mm","1,160kg",5인승,205mm/50/15inch,205mm/50/15inch,전륜구동,수동5단,맥퍼슨스트럿,듀얼링크코일스프링,디스크,디스크,랙앤피니언,,
2001 티뷰론 터뷸런스,1.8 DOHC,"1,067~1,192만원","β-1.8DOHC,직렬4기통DOHC",정보없음,"1,795cc",가솔린,"자동11.6km/ℓ(3등급)별표*
수동13.8km/ℓ(2등급)별표*
",4~5인승,전륜구동,"자동4단,수동4~5단","β-1.8DOHC,직렬4기통DOHC","1,795cc",가솔린,133hp,17.1kg.m,202km/h,10.1초,정보없음,"자동11.6km/ℓ(3등급)별표*
수동13.8km/ℓ(2등급)별표*
",정보없음,"4,345mm","1,790mm","1,315mm","2,475mm","1,465mm","1,450mm","1,190~1,215kg",4~5인승,195~205mm/50~60/14~15inch,195~205mm/50~60/14~15inch,전륜구동,"자동4단,수동4~5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,디스크,랙앤피니언,,
2002 라비타,1.5 DOHC,"855~1,170만원",직렬4기통DOHC,정보없음,"1,495cc",가솔린,"수동12.4~13.3km/ℓ(2등급~3등급)별표*
",5인승,전륜구동,수동,직렬4기통DOHC,"1,495cc",가솔린,100hp,13.4kg.m,정보없음,정보없음,정보없음,"수동12.4~13.3km/ℓ(2등급~3등급)별표*
",정보없음,"4,050mm","1,740mm",정보없음,정보없음,정보없음,정보없음,"1,246~1,269kg",5인승,185~195mm/55~65/14~15inch,185~195mm/55~65/14~15inch,전륜구동,수동,맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2002 라비타,1.8 DOHC,"1,061~1,378만원",직렬4기통DOHC,정보없음,"1,795cc",가솔린,"수동13.0km/ℓ(2등급)별표*
",5인승,전륜구동,수동,직렬4기통DOHC,"1,795cc",가솔린,123hp,16.5kg.m,정보없음,정보없음,정보없음,"수동13.0km/ℓ(2등급)별표*
",정보없음,"4,050mm","1,740mm",정보없음,정보없음,정보없음,정보없음,"1,292kg",5인승,195~205mm/55/15inch,195~205mm/55/15inch,전륜구동,수동,맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2002 베르나,1.3 GL 가솔린,727~844만원,1.3SOHC,정보없음,"1,341cc",가솔린,"자동15.3km/ℓ(1등급)별표*
수동15.3km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단",1.3SOHC,"1,341cc",가솔린,82hp,12.0kg.m,정보없음,정보없음,정보없음,"자동15.3km/ℓ(1등급)별표*
수동15.3km/ℓ(1등급)별표*
",정보없음,"4,260mm","1,680mm","1,395mm","2,440mm","1,435mm","1,425mm","1,007kg",5인승,175mm/70/13inch,175mm/70/13inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2002 베르나,1.5 GD 가솔린,"810~1,065만원",1.5DOHC,정보없음,"1,495cc",가솔린,"자동13.9km/ℓ(2등급)별표*
수동15.9km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단",1.5DOHC,"1,495cc",가솔린,102hp,13.6kg.m,정보없음,정보없음,정보없음,"자동13.9km/ℓ(2등급)별표*
수동15.9km/ℓ(1등급)별표*
",정보없음,"4,260mm","1,680mm","1,395mm","2,440mm","1,435mm","1,425mm","1,030~1,060kg",5인승,185mm/60/14inch,185mm/60/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2002 베르나,1.5 LE 가솔린,"815~1,073만원",1.5린번,정보없음,"1,495cc",가솔린,"자동14.8km/ℓ(2등급)별표*
수동18.0km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단",1.5린번,"1,495cc",가솔린,97hp,13.6kg.m,정보없음,정보없음,정보없음,"자동14.8km/ℓ(2등급)별표*
수동18.0km/ℓ(1등급)별표*
",정보없음,"4,260mm","1,680mm","1,395mm","2,440mm","1,435mm","1,425mm","1,030~1,057kg",5인승,175~185mm/60~70/13~14inch,175~185mm/60~70/13~14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2002 베르나,1.5 GV 가솔린,"796~1,051만원",1.5SOHC,정보없음,"1,495cc",가솔린,"자동14.3km/ℓ(2등급)별표*
수동16.6km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동5단",1.5SOHC,"1,495cc",가솔린,91hp,13.2kg.m,정보없음,정보없음,정보없음,"자동14.3km/ℓ(2등급)별표*
수동16.6km/ℓ(1등급)별표*
",정보없음,"4,260mm","1,680mm","1,395mm","2,440mm","1,435mm","1,425mm","982~1,009kg",5인승,185mm/60/14inch,185mm/60/14inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,듀얼링크코일스프링,디스크,드럼,랙앤피니언,,
2002 스타렉스 리무진,2.5 디젤,"3,922만원",D4BH,싱글터보,"2,476cc",디젤,"자동8.2km/ℓ별표*
",9인승,후륜구동,자동4단,D4BH,"2,476cc",디젤,103hp,24.0kg.m,145km/h,정보없음,정보없음,"자동8.2km/ℓ별표*
",정보없음,"5,135mm","1,905mm","2,280mm","3,080mm",정보없음,정보없음,"2,225kg",9인승,225mm/60/16inch,225mm/60/16inch,후륜구동,자동4단,더블위시본,5링크코일스프링,V디스크,드럼,랙앤피니언,,
2002 싼타모,2.0 LPG 7인승,"1,283~1,414만원","L5CP,L4CP,L6CP",정보없음,"1,997cc",LPG,"수동9.6km/ℓ(4등급)별표*
",정보없음,전륜구동,수동5단,"L5CP,L4CP,L6CP","1,997cc",LPG,86hp,16.5kg.m,정보없음,정보없음,정보없음,"수동9.6km/ℓ(4등급)별표*
",정보없음,"4,515mm","1,695mm","1,580mm","2,720mm","1,460mm","1,460mm","1,340kg",정보없음,195mm/70/14inch,195mm/70/14inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,V디스크,드럼,랙앤피니언,,
2002 싼타모,2.0 LPG,"1,477~1,603만원","L8CP,L7CP",정보없음,"1,997cc",LPG,"수동9.6km/ℓ(4등급)별표*
",정보없음,전륜구동,수동5단,"L8CP,L7CP","1,997cc",LPG,86hp,16.5kg.m,정보없음,정보없음,정보없음,"수동9.6km/ℓ(4등급)별표*
",정보없음,"4,630mm","1,740mm","1,630mm","2,720mm","1,470mm","1,470mm","1,400kg",정보없음,205mm/70/14inch,205mm/70/14inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,V디스크,드럼,랙앤피니언,,
2002 클릭,1.3 SOHC,640~913만원,1.3SOHC,정보없음,"1,341cc",가솔린,"수동17.6km/ℓ(1등급)별표*
",5인승,전륜구동,수동,1.3SOHC,"1,341cc",가솔린,82hp,11.9kg.m,164km/h,정보없음,정보없음,"수동17.6km/ℓ(1등급)별표*
",정보없음,"3,810mm","1,665mm","1,495mm","2,455mm","1,450mm","1,440mm",985kg,5인승,155~185mm/60~80/13~14inch,155~185mm/60~80/13~14inch,전륜구동,수동,맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2002 클릭,1.5 DOHC,750~935만원,1.5DOHC,정보없음,"1,495cc",가솔린,"수동16.0km/ℓ(1등급)별표*
",5인승,전륜구동,수동,1.5DOHC,"1,495cc",가솔린,100hp,13.6kg.m,173km/h,정보없음,정보없음,"수동16.0km/ℓ(1등급)별표*
",정보없음,"3,810mm","1,665mm","1,495mm","2,455mm","1,450mm","1,440mm",990kg,5인승,175~185mm/60~70/13~14inch,175~185mm/60~70/13~14inch,전륜구동,수동,맥퍼슨스트럿,토션빔액슬,디스크,디스크,랙앤피니언,,
2002 테라칸,VX350 4WD,"3,434만원",V형6기통,정보없음,"3,497cc",가솔린,"자동7.1km/ℓ(5등급)별표*
",7인승,파트타임4륜구동,자동4단,V형6기통,"3,497cc",가솔린,207hp,32.0kg.m,178km/h,정보없음,정보없음,"자동7.1km/ℓ(5등급)별표*
",정보없음,"4,710mm","1,860mm","1,795mm","2,750mm","1,530mm","1,530mm","1,975kg",7인승,255mm/65/16inch,255mm/65/16inch,파트타임4륜구동,자동4단,더블위시본,5링크코일스프링,디스크,디스크,랙앤피니언,,
2002 테라칸,JX290 4WD,"2,642~2,776만원",CRDi,정보없음,"2,902cc",디젤,"수동11.2km/ℓ(3등급)별표*
",7인승,파트타임4륜구동,수동5단,CRDi,"2,902cc",디젤,150hp,34.0kg.m,166km/h,정보없음,정보없음,"수동11.2km/ℓ(3등급)별표*
",정보없음,"4,710mm","1,860mm","1,795mm","2,750mm","1,530mm","1,530mm","2,115kg",7인승,255mm/65/16inch,255mm/65/16inch,파트타임4륜구동,수동5단,더블위시본,5링크코일스프링,디스크,디스크,랙앤피니언,,
2002 테라칸,EX250 2WD,"1,806~1,916만원",인터쿨러터보,정보없음,"2,476cc",디젤,"수동9.7km/ℓ(4등급)별표*
",7인승,후륜구동,수동5단,인터쿨러터보,"2,476cc",디젤,103hp,24.0kg.m,143km/h,정보없음,정보없음,"수동9.7km/ℓ(4등급)별표*
",정보없음,"4,710mm","1,860mm","1,795mm","2,750mm","1,530mm","1,530mm","1,975kg",7인승,255mm/70/15inch,255mm/70/15inch,후륜구동,수동5단,더블위시본,5링크코일스프링,디스크,디스크,랙앤피니언,,
2002 테라칸,EX290 2WD,"2,068만원",CRDi,정보없음,"2,902cc",디젤,"수동12.2km/ℓ(3등급)별표*
",7인승,후륜구동,수동5단,CRDi,"2,902cc",디젤,145hp,34.0kg.m,166km/h,정보없음,정보없음,"수동12.2km/ℓ(3등급)별표*
",정보없음,"4,710mm","1,860mm","1,795mm","2,750mm","1,530mm","1,530mm","2,010kg",7인승,255mm/65/16inch,255mm/65/16inch,후륜구동,수동5단,더블위시본,5링크코일스프링,디스크,디스크,랙앤피니언,,
2002 테라칸,JX250 4WD,"2,146~2,547만원",인터쿨러터보,정보없음,"2,476cc",디젤,"자동9.2km/ℓ(4등급)별표*
수동9.7km/ℓ(4등급)별표*
",7인승,파트타임4륜구동,"자동4단,수동5단",인터쿨러터보,"2,476cc",디젤,103hp,24.0kg.m,142~143km/h,정보없음,정보없음,"자동9.2km/ℓ(4등급)별표*
수동9.7km/ℓ(4등급)별표*
",정보없음,"4,710mm","1,860mm","1,795mm","2,750mm","1,530mm","1,530mm","1,975kg",7인승,255mm/70/15inch,255mm/70/15inch,파트타임4륜구동,"자동4단,수동5단",더블위시본,5링크코일스프링,디스크,디스크,랙앤피니언,,
2002 트라제XG,2.7 LPG 9인승,"1,671~2,195만원",V62.7,정보없음,"2,656cc",LPG,"자동7.0km/ℓ(5등급)별표*
",9인승,전륜구동,자동4단,V62.7,"2,656cc",LPG,144hp,23.0kg.m,정보없음,정보없음,정보없음,"자동7.0km/ℓ(5등급)별표*
",정보없음,"4,695mm","1,840mm","1,710mm","2,830mm","1,565mm","1,585mm","1,815kg",9인승,215mm/65/15inch,215mm/65/15inch,전륜구동,자동4단,맥퍼슨스트럿,세미트레일링암,디스크,디스크,랙앤피니언,,
2002 트라제XG,2.0 디젤  CRDi...,"1,749~2,052만원",I42.0CRDi,정보없음,"1,991cc",디젤,"수동11.0km/ℓ(3등급)별표*
",9인승,전륜구동,수동5단,I42.0CRDi,"1,991cc",디젤,115hp,26.5kg.m,정보없음,정보없음,정보없음,"수동11.0km/ℓ(3등급)별표*
",정보없음,"4,695mm","1,840mm","1,710mm","2,830mm","1,565mm","1,585mm","1,870kg",9인승,215mm/65/15inch,215mm/65/15inch,전륜구동,수동5단,맥퍼슨스트럿,세미트레일링암,디스크,디스크,랙앤피니언,,
2002 트라제XG,2.0 디젤 VGT...,"1,876~2,373만원",I42.0VGT,정보없음,"1,991cc",디젤,"자동11.0km/ℓ(3등급)별표*
",9인승,전륜구동,자동4단,I42.0VGT,"1,991cc",디젤,126hp,29.5kg.m,정보없음,정보없음,정보없음,"자동11.0km/ℓ(3등급)별표*
",정보없음,"4,695mm","1,840mm","1,710mm","2,830mm","1,565mm","1,585mm","1,907kg",9인승,215mm/65/15~16inch,215mm/65/15~16inch,전륜구동,자동4단,맥퍼슨스트럿,세미트레일링암,디스크,디스크,랙앤피니언,,
2003 갤로퍼,숏바디밴 터보,"1,482만원",2.5디젤,정보없음,"2,476cc",디젤,"수동10.3km/ℓ(4등급)별표*
",2인승,파트타임4륜구동,수동5단,2.5디젤,"2,476cc",디젤,81hp,21.2kg.m,136km/h,정보없음,정보없음,"수동10.3km/ℓ(4등급)별표*
",정보없음,"4,120mm","1,770mm","1,870mm","2,695mm","1,435mm","1,450mm",정보없음,2인승,265mm/70/15inch,265mm/70/15inch,파트타임4륜구동,수동5단,더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2003 갤로퍼,7인승 2.5 인터쿨러,"1,782만원",2.5디젤,정보없음,"2,476cc",디젤,"수동9.5km/ℓ(4등급)별표*
",7인승,파트타임4륜구동,수동5단,2.5디젤,"2,476cc",디젤,103hp,24.0kg.m,135km/h,정보없음,정보없음,"수동9.5km/ℓ(4등급)별표*
",정보없음,"4,720mm","1,770mm","1,900mm","2,695mm","1,435mm","1,450mm",정보없음,7인승,265mm/70/15inch,265mm/70/15inch,파트타임4륜구동,수동5단,더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2003 갤로퍼,7인승 3.0 LPG,"2,026만원",V63.0LPG,정보없음,"2,972cc",LPG,"수동6.5km/ℓ(5등급)별표*
",7인승,파트타임4륜구동,수동5단,V63.0LPG,"2,972cc",LPG,135hp,24.0kg.m,152km/h,정보없음,정보없음,"수동6.5km/ℓ(5등급)별표*
",정보없음,"4,720mm","1,770mm","1,900mm","2,695mm","1,435mm","1,450mm",정보없음,7인승,265mm/70/15inch,265mm/70/15inch,파트타임4륜구동,수동5단,더블위시본,3링크코일스프링,디스크,드럼,볼너트,,
2003 스타렉스,2.5 디젤 9인승 4WD,"1,777~2,106만원",D4BH,정보없음,"2,476cc",디젤,"수동9.7km/ℓ(4등급)별표*
",9인승,파트타임4륜구동,수동5단,D4BH,"2,476cc",디젤,103hp,24.0kg.m,148km/h,정보없음,정보없음,"수동9.7km/ℓ(4등급)별표*
",정보없음,"5,035mm","1,820mm","2,080mm","2,810mm","1,570mm","1,545mm","1,916kg",9인승,215mm/70/15inch,215mm/70/15inch,파트타임4륜구동,수동5단,더블위시본,5링크코일스프링,V디스크,디스크,랙앤피니언,,
2003 스타렉스,3.0 LPG 9인승,"1,195~1,641만원",L6AT,정보없음,"2,476~2,972cc",LPG,"수동7.0~9.7km/ℓ(4등급~5등급)별표*
",9인승,후륜구동,수동5단,L6AT,"2,476~2,972cc",LPG,103~135hp,23.0~24.0kg.m,154km/h,정보없음,정보없음,"수동7.0~9.7km/ℓ(4등급~5등급)별표*
",정보없음,"5,035mm","1,820mm","1,965mm","3,080mm","1,570mm","1,545mm","1,916kg",9인승,205mm/70/15inch,205mm/70/15inch,후륜구동,수동5단,더블위시본,리프스프링,V디스크,디스크,랙앤피니언,,
2003 스타렉스,3.0 LPG 6인승,"1,201~1,286만원",L6AT,정보없음,"2,476cc",LPG,"수동9.7km/ℓ(4등급)별표*
",6인승,후륜구동,수동5단,L6AT,"2,476cc",LPG,103hp,24.0kg.m,147km/h,정보없음,정보없음,"수동9.7km/ℓ(4등급)별표*
",정보없음,"5,035mm","1,820mm","1,965mm","3,080mm","1,570mm","1,545mm","1,773kg",6인승,205mm/55/16inch,205mm/55/16inch,후륜구동,수동5단,더블위시본,5링크코일스프링,V디스크,디스크,랙앤피니언,,
2003 스타렉스,3.0 LPG 12인승,"1,245~1,398만원",L6AT,정보없음,"2,476cc",LPG,"수동7.0km/ℓ(5등급)별표*
",12인승,후륜구동,수동5단,L6AT,"2,476cc",LPG,103hp,24.0kg.m,148~149km/h,정보없음,정보없음,"수동7.0km/ℓ(5등급)별표*
",정보없음,"5,035mm","1,820mm","1,965mm","3,080mm","1,570mm","1,545mm","1,916kg",12인승,205mm/55/16inch,205mm/55/16inch,후륜구동,수동5단,더블위시본,리프스프링,V디스크,디스크,랙앤피니언,,
2003 스타렉스,3.0 LPG 11인승,"1,371~1,398만원",L6AT,정보없음,"2,972cc",LPG,"수동7.0km/ℓ(5등급)별표*
",11인승,후륜구동,수동5단,L6AT,"2,972cc",LPG,103hp,24.0kg.m,154km/h,정보없음,정보없음,"수동7.0km/ℓ(5등급)별표*
",정보없음,"5,035mm","1,820mm","1,965mm","3,080mm","1,570mm","1,545mm","1,916kg",11인승,205mm/55/16inch,205mm/55/16inch,후륜구동,수동5단,더블위시본,리프스프링,V디스크,디스크,랙앤피니언,,
