차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],엔진[합산출력],엔진[합산토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링]
2018 쏘나타 하이브리드,2.0 HEV,"2,854~3,299만원",l4,자연흡기,"1,999cc","전기,가솔린",자동17.4~18.0km/ℓ(하이브리드),5인승,전륜구동,자동6단,l4,"1,999cc","전기,가솔린",156hp,19.3kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,자동17.4~18.0km/ℓ(하이브리드),88.0~91.0g/km,"4,855mm","1,865mm","1,475mm","2,805mm","1,602~1,614mm","1,602~1,609mm","1,585~1,595kg",5인승,205~215mm/55~65/16~17inch,205~215mm/55~65/16~17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2018 아이오닉 플러그인 하이브리드 ,1.6 GDi PHEV,"3,183~3,360만원",l4,자연흡기,"1,580cc","전기,가솔린",DCT20.5km/ℓ(하이브리드),5인승,전륜구동,자동(DCT)6단,l4,"1,580cc","전기,가솔린",105hp,15.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,DCT20.5km/ℓ(하이브리드),17.0g/km,"4,470mm","1,820mm","1,450mm","2,700mm","1,555mm","1,569mm","1,515kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동(DCT)6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2018 아이오닉 하이브리드 ,1.6 GDi HEV,"2,200~2,608만원",l4,자연흡기,"1,580cc","전기,가솔린",DCT22.4km/ℓ(하이브리드),5인승,전륜구동,자동(DCT)6단,l4,"1,580cc","전기,가솔린",105hp,15.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,DCT22.4km/ℓ(하이브리드),69.0g/km,"4,470mm","1,820mm","1,450mm","2,700mm","1,563mm","1,549mm","1,380kg",5인승,정보없음,정보없음,전륜구동,자동(DCT)6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2019 그랜저 하이브리드,2.4 HEV,"3,576~3,993만원",l4,자연흡기,"2,359cc","전기,가솔린",자동16.2km/ℓ(하이브리드),5인승,전륜구동,자동6단,l4,"2,359cc","전기,가솔린",159hp,21.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,자동16.2km/ℓ(하이브리드),97.0g/km,"4,930mm","1,865mm","1,470mm","2,845mm","1,612mm","1,620mm","1,675kg",5인승,정보없음/정보없음/17inch,정보없음/정보없음/17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2019 쏘나타 하이브리드,2.0 HEV,"2,754~3,579만원",I4,자연흡기,"1,999cc","전기,가솔린",자동19.1~20.1km/ℓ(하이브리드),5인승,전륜구동,자동6단,I4,"1,999cc","전기,가솔린",152hp,19.2kg.m,195hp,정보없음,정보없음,정보없음,정보없음,자동19.1~20.1km/ℓ(하이브리드),79.0~83.0g/km,"4,900mm","1,860mm","1,445mm","2,840mm",정보없음,정보없음,"1,495~1,505kg",5인승,205~215mm/55~65/16~17inch,205~215mm/55~65/16~17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2019 아이오닉 플러그인 하이브리드,1.6 PHEV,"3,134~3,383만원",I4,자연흡기,"1,580cc","전기,가솔린",DCT20.5km/ℓ(하이브리드),5인승,전륜구동,자동(DCT)6단,I4,"1,580cc","전기,가솔린",105hp,15.0kg.m,정보없음,정보없음,정보없음,10.6초,정보없음,DCT20.5km/ℓ(하이브리드),17.0g/km,"4,470mm","1,820mm","1,450mm","2,700mm","1,555mm","1,569mm","1,510kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동(DCT)6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,렉앤피니언
2019 아이오닉 하이브리드,1.6 HEV,"2,242~2,693만원",I4,자연흡기,"1,580cc","전기,가솔린",DCT22.4km/ℓ(하이브리드),5인승,전륜구동,자동(DCT)6단,I4,"1,580cc","전기,가솔린",105hp,15.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,DCT22.4km/ℓ(하이브리드),69.0g/km,"4,470mm","1,820mm","1,450mm","2,700mm","1,563mm","1,577mm","1,380kg",5인승,195mm/65/15inch,195mm/65/15inch,전륜구동,자동(DCT)6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2020 그랜저 하이브리드,2.4 HEV,"3,646~4,432만원",I4,자연흡기,"2,359cc","전기,가솔린",자동15.2~16.2km/ℓ(1등급~2등급),5인승,전륜구동,자동6단,I4,"2,359cc","전기,가솔린",159hp,21.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,자동15.2~16.2km/ℓ(1등급~2등급),97.0~108.0g/km,"4,990mm","1,875mm","1,470mm","2,885mm","1,607~1,612mm","1,615~1,620mm","1,675~1,725kg",5인승,225~245mm/45~55/17~18inch,225~245mm/45~55/17~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2020 쏘나타 하이브리드,2.0 HEV,"2,754~3,579만원",I4,자연흡기,"1,999cc","전기,가솔린",자동19.1~20.1km/ℓ(하이브리드),5인승,전륜구동,자동6단,I4,"1,999cc","전기,가솔린",152hp,19.2kg.m,195hp,정보없음,정보없음,정보없음,정보없음,자동19.1~20.1km/ℓ(하이브리드),79.0~83.0g/km,"4,900mm","1,860mm","1,445mm","2,840mm",정보없음,정보없음,"1,495~1,505kg",5인승,205~215mm/55~65/16~17inch,205~215mm/55~65/16~17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2020 아반떼 하이브리드,1.6 HEV,"2,199~2,814만원",I4,자연흡기,"1,580cc","전기,가솔린",DCT21.1km/ℓ(1등급),5인승,전륜구동,자동(DCT)6단,I4,"1,580cc","전기,가솔린",105hp,15.0kg.m,141hp,정보없음,정보없음,정보없음,정보없음,DCT21.1km/ℓ(1등급),74.0g/km,"4,650mm","1,825mm","1,420mm","2,720mm","1,585mm","1,599mm","1,330kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동(DCT)6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2020 코나 하이브리드,1.6 HEV,"2,270~2,611만원",I4,자연흡기,"1,580cc","전기,가솔린",DCT17.4~19.3km/ℓ(하이브리드),5인승,전륜구동,자동(DCT)6단,I4,"1,580cc","전기,가솔린",105hp,15.0kg.m,141hp,정보없음,정보없음,정보없음,정보없음,DCT17.4~19.3km/ℓ(하이브리드),82.0~92.0g/km,"4,165mm","1,800mm","1,565mm","2,600mm","1,575mm","1,584mm","1,395~1,425kg",5인승,205~225mm/45~60/16~18inch,205~225mm/45~60/16~18inch,전륜구동,자동(DCT)6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2021 투싼 하이브리드,1.6 HEV,가격정보없음,I4,싱글터보,"1,598cc","전기,가솔린",자동16.2km/ℓ(하이브리드),5인승,전륜구동,자동6단,I4,"1,598cc","전기,가솔린",180hp,27.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,자동16.2km/ℓ(하이브리드),99.0g/km,"4,630mm","1,865mm","1,665mm","2,755mm","1,620mm","1,627mm","1,590kg",5인승,225mm/60/17inch,225mm/60/17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
