rank,title,year,rating,genres,runtime,director,total revenue
106,Scarface,(1983),8.2,Crime,2h 50min,Brian De Palma,"$66,023,585"
107,Taxi Driver,(1976),8.2,Crime,1h 54min,Martin Scorsese,"$28,441,292"
108,Ikiru,(1952),8.2,Drama,2h 23min,Akira Kurosawa,"$90,773"
109,Amélie,(2001),8.2,Comedy,2h 2min,Jean-Pierre Jeunet,"$173,924,742"
110,Lawrence of Arabia,(1962),8.2,Adventure,3h 48min,David Lean,"$45,710,874"
111,Toy Story 3,(2010),8.2,Animation,1h 43min,Lee Unkrich,"$1,066,969,703"
112,The Sting,(1973),8.2,Comedy,2h 9min,George Roy Hill,"$156,000,000"
113,Metropolis,(1927),8.2,Drama,2h 33min,Fritz Lang,"$1,349,711"
114,Jodaeiye Nader az Simin,(2011),8.2,Drama,2h 3min,Asghar Farhadi,"$22,926,076"
115,Per qualche dollaro in più,(1965),8.2,Western,2h 12min,Sergio Leone,"$15,000,000"
116,Incendies,(2010),8.2,Drama,2h 11min,Denis Villeneuve,"$7,099,598"
117,The Apartment,(1960),8.2,Comedy,2h 5min,Billy Wilder,"$178,003"
118,Double Indemnity,(1944),8.2,Crime,1h 47min,Billy Wilder,"$13,886"
119,Idi i smotri,(1985),8.2,Drama,2h 22min,Elem Klimov,"$168,817"
120,To Kill a Mockingbird,(1962),8.2,Crime,2h 9min,Robert Mulligan,"$599,146"
121,Indiana Jones and the Last Crusade,(1989),8.2,Action,2h 7min,Steven Spielberg,"$474,310,887"
122,Up,(2009),8.2,Animation,1h 36min,Pete Docter,"$735,099,082"
123,L.A. Confidential,(1997),8.2,Crime,2h 18min,Curtis Hanson,"$126,216,940"
124,Heat,(1995),8.2,Crime,2h 50min,Michael Mann,"$187,436,818"
125,Monty Python and the Holy Grail,(1975),8.2,Adventure,1h 31min,Terry Gilliam,"$1,938,971"
126,Die Hard,(1988),8.2,Action,2h 12min,John McTiernan,"$141,482,154"
127,Rashômon,(1950),8.2,Crime,1h 28min,Akira Kurosawa,"$46,808"
128,Yôjinbô,(1961),8.2,Action,1h 50min,Akira Kurosawa,"$46,808"
129,Batman Begins,(2005),8.2,Action,2h 20min,Christopher Nolan,"$373,654,966"
130,Green Book,(2018),8.2,Biography,2h 10min,Peter Farrelly,"$321,752,656"
131,Der Untergang,(2004),8.2,Biography,2h 36min,Oliver Hirschbiegel,"$92,181,574"
132,Bacheha-Ye aseman,(1997),8.2,Drama,1h 29min,Majid Majidi,"$933,933"
133,Anand,(1971),8.2,Drama,2h 2min,Hrishikesh Mukherjee,None
134,Unforgiven,(1992),8.2,Drama,2h 10min,Clint Eastwood,"$159,157,447"
135,Some Like It Hot,(1959),8.2,Comedy,2h 1min,Billy Wilder,"$83,169,282"
136,Ran,(1985),8.2,Action,2h 42min,Akira Kurosawa,"$4,163,377"
137,Howlui umjikineun seong,(2004),8.2,Animation,1h 59min,Hayao Miyazaki,"$236,212,992"
138,A Beautiful Mind,(2001),8.2,Biography,2h 15min,Ron Howard,"$316,791,257"
139,Eveeui Modeun Gut,(1950),8.2,Drama,2h 18min,Joseph L. Mankiewicz,"$150,438"
140,The Great Escape,(1963),8.2,Adventure,2h 52min,John Sturges,"$227,940"
141,Casino,(1995),8.2,Crime,2h 58min,Martin Scorsese,"$116,112,375"
142,Pan's Labyrinth,(2006),8.2,Drama,1h 58min,Guillermo del Toro,"$83,850,267"
143,The Wolf of Wall Street,(2013),8.2,Biography,3h,Martin Scorsese,"$392,000,694"
144,El Sikeuleto: Bimil-ui Nundongja,(2009),8.2,Drama,2h 9min,Juan José Campanella,"$42,629,597"
145,"Lock, Stock and Two Smoking Barrels",(1998),8.1,Action,1h 47min,Guy Ritchie,"$3,753,929"
146,Tonari no Totoro,(1988),8.1,Animation,1h 26min,Hayao Miyazaki,"$30,476,970"
147,Raging Bull,(1980),8.1,Biography,2h 9min,Martin Scorsese,"$23,402,427"
148,There Will Be Blood,(2007),8.1,Drama,2h 38min,Paul Thomas Anderson,"$76,181,545"
149,Judgment at Nuremberg,(1961),8.1,Drama,2h 59min,Stanley Kramer,"$12,180"
150,The Treasure of the Sierra Madre,(1948),8.1,Adventure,2h 6min,John Huston,"$215,295"
151,"Three Billboards Outside Ebbing, Missouri",(2017),8.1,Comedy,1h 55min,Martin McDonagh,"$160,192,031"
152,Babam ve Oglum,(2005),8.1,Drama,1h 52min,Çagan Irmak,"$18,612,999"
153,Dial M for Murder,(1954),8.1,Crime,1h 45min,Alfred Hitchcock,"$18,816"
154,The Gold Rush,(1925),8.1,Adventure,1h 35min,Charles Chaplin,"$26,916"
155,Chinatown,(1974),8.1,Drama,2h 10min,Roman Polanski,"$29,225,935"
156,Shutter Island,(2010),8.1,Mystery,2h 18min,Martin Scorsese,"$294,804,195"
157,V for Vendetta,(2005),8.1,Action,2h 12min,James McTeigue,"$132,511,035"
158,No Country for Old Men,(2007),8.1,Crime,2h 2min,Ethan Coen,"$171,627,166"
159,Det sjunde inseglet,(1957),8.1,Drama,1h 36min,Ingmar Bergman,"$230,571"
160,Inside Out,(2015),8.1,Animation,1h 35min,Pete Docter,"$858,071,350"
161,Warrior,(2011),8.1,Action,2h 20min,Gavin O'Connor,"$23,308,615"
162,The Elephant Man,(1980),8.1,Biography,2h 4min,David Lynch,"$26,020,641"
163,Trainspotting,(1996),8.1,Drama,1h 33min,Danny Boyle,"$16,593,356"
164,The Sixth Sense,(1999),8.1,Drama,1h 47min,M. Night Shyamalan,"$672,806,292"
165,The Thing,(1982),8.1,Horror,1h 49min,John Carpenter,"$19,629,760"
166,Jyuragi gongwon,(1993),8.1,Action,2h 7min,Steven Spielberg,"$1,033,862,494"
167,Gone with the Wind,(1939),8.1,Drama,3h 58min,Victor Fleming,"$402,352,579"
168,Smultronstället,(1957),8.1,Drama,1h 31min,Ingmar Bergman,"$14,524"
169,Blade Runner,(1982),8.1,Action,1h 57min,Ridley Scott,"$41,492,614"
170,Finding Nemo,(2003),8.1,Animation,1h 40min,Andrew Stanton,"$940,350,086"
171,The Truman Show,(1998),8.1,Comedy,1h 43min,Peter Weir,"$264,118,201"
172,Room,(2015),8.1,Drama,1h 58min,Lenny Abrahamson,"$35,401,758"
173,The Bridge on the River Kwai,(1957),8.1,Adventure,2h 41min,David Lean,"$27,200,000"
